price,area,bedrooms,bathrooms,location
Rs 1.59 Crore,"1,350 SQFT",3 Beds,3 Baths,"Kings Cottages, Karachi•"
Rs 52 Lacs,120 SQYD,0,0,"Saima Arabian Villas, Karachi•"
Rs 24 Lacs,127 SQFT,1 Bed,1 Bath,"North Town Residency, Karachi•"
Rs 82 Lacs,850 SQFT,4 Beds,2 Baths,"North Karachi - Sector 11A, Karachi•"
Rs 2.35 Crore,133 SQYD,4 Beds,6 Baths,"Airport Road, Karachi•"
Rs 58 Lacs,955 SQFT,2 Beds,2 Baths,"Bahria Apartments, Karachi•"
Rs 75 Lacs,"1,200 SQFT",4 Beds,3 Baths,"North Karachi, Karachi•"
Rs 3.25 Crore,400 SQYD,0,0,"Capital Cooperative Housing Society, Karachi•"
Rs 62 Lacs,120 SQYD,0,0,"Gulshan-e-Roomi, Karachi•"
Rs 50 Lacs,851 SQFT,2 Beds,2 Baths,"Shadman Town - Sector-14/B, Karachi•"
Rs 2.29 Crore,226 SQYD,0,0,"Sector 31 - Punjabi Saudagar City Phase 2, Karachi•"
Rs 35 Lacs,80 SQYD,0,0,"Korangi - Sector 51-C, Karachi•"
Rs 70 Lacs,955 SQFT,2 Beds,2 Baths,"Bahria Apartments, Karachi•"
Rs 1.10 Crore,"1,300 SQFT",4 Beds,2 Baths,"Gulshan-e-Maymar - Sector Z, Karachi•"
Rs 55 Lacs,599 SQFT,3 Beds,2 Baths,"North Karachi - Sector 11A, Karachi•"
Rs 80 Lacs,850 SQFT,4 Beds,2 Baths,"North Karachi - Sector 11A, Karachi•"
Rs 85 Lacs,900 SQFT,4 Beds,2 Baths,"North Karachi - Sector 5-K, Karachi•"
Rs 1.10 Crore,150 SQYD,4 Beds,2 Baths,"Scheme 33, Karachi•"
Rs 73 Lacs,900 SQFT,4 Beds,2 Baths,"North Karachi - Sector 5-K, Karachi•"
Rs 13 Lacs,445 SQFT,2 Beds,1 Bath,"Surjani Town - Sector 12, Karachi•"
Rs 44 Lacs,120 SQYD,0,0,"Alize Garden, Karachi•"
Rs 3.45 Crore,120 SQYD,4 Beds,4 Baths,"Naya Nazimabad, Karachi•"
Rs 65 Lacs,900 SQFT,4 Beds,2 Baths,"North Karachi - Sector 11A, Karachi•"
Rs 62 Lacs,900 SQFT,3 Beds,2 Baths,"North Karachi - Sector 5-K, Karachi•"
Rs 2 Crore,80 SQYD,6 Beds,3 Baths,"Shah Faisal Town - Block 3, Karachi•"
Rs 6 Lac,65 SQFT,Studio,1 Bath,"North Town Residency, Karachi•"
Rs 30 Lacs,445 SQFT,2 Beds,1 Bath,"North Karachi - Sector 11A, Karachi•"
