price,area_sqft,bedrooms,bathrooms,location_final
74000000,3071,4,6,Other
78500000,2200,3,5,Other
79500000,1945,2,4,Other
51500000,1150,2,3,Other
75000000,1650,2,4,Other
102500000,2375,3,5,Other
114000000,2625,3,5,Other
86000000,900,3,3,DHA
78000000,1639,2,3,Other
14500000,525,3,3,Other
85000000,2450,3,5,Other
11800000,2160,3,3,Other
108000000,3500,2,3,Other
95000000,1771,2,3,Other
84000000,1828,2,3,Other
83000000,2484,3,5,Other
86500000,2484,3,5,Other
90000000,2650,4,6,Other
7500000,1000,2,2,North
53500000,1779,2,2,Other
97500000,2500,3,5,Other
71000000,1739,2,3,Other
72500000,1640,2,4,Other
8500000,1050,2,2,Gulistan
15500000,1080,2,2,Gulistan
65000000,2700,4,4,Gulshan
8000000,8100,2,2,Scheme 33
7000000,1080,3,3,Other
8500000,1000,2,2,North
13000000,1200,3,3,Gulshan
5500000,850,2,2,Other
24000000,1700,3,3,Gulshan
17000000,1750,3,4,Other
7700000,576,4,3,Surjani Town
7600000,1080,3,3,North Town Residency
2980000,3420,1,1,North
25000000,1080,2,2,Other
40000000,2160,6,7,Gulshan
100000000,5544,3,4,DHA
32500000,1800,6,7,Gulshan
4200000,650,2,2,Gulistan
28000000,1600,3,3,Gulshan
65000000,4500,3,4,DHA
16000000,1600,1,1,Gulistan
20000000,423,3,3,Clifton
9500000,1450,3,3,Gulistan
6400000,1000,2,2,Gulistan
800000,51,3,3,Surjani Town
16000000,1900,3,4,Gulistan
30000000,400,3,3,Gulistan
800000,70,3,3,Surjani Town
135000000,4500,6,7,DHA
132500000,4500,5,6,DHA
95000000,1350,5,5,DHA
8000000,650,2,2,North Nazimabad
165000000,4500,6,7,DHA
48400000,4500,3,4,DHA
31000000,1080,6,6,Other
17000000,1080,4,3,North
47500000,3600,4,7,Other
11399999,1000,2,2,Gulshan
7200000,540,2,2,Other
15000000,1200,3,3,Gulshan
35000000,2340,4,4,Gulshan
48000000,2160,6,6,Gulshan
75000000,2250,4,4,Clifton
40000000,1080,3,3,DHA
67000000,4500,3,4,DHA
160000000,1800,3,4,DHA
11000000,1125,3,3,Bahria Town
31000000,2400,3,4,Gulshan
32200000,2160,3,3,Gulistan
8100000,1080,3,3,Other
55000000,2160,6,7,Capital Cooperative Housing Society
8500000,4500,3,4,DHA
2300000,450,1,1,North
17500000,9900,3,3,DHA
56500000,2160,6,6,Gulistan
45000000,2000,3,3,Clifton
3650000,409,1,1,Falaknaz Dreams
36500000,2160,6,7,Other
80000,1000,3,3,Other
50000000,2400,4,4,Other
46500000,160,4,4,Nazimabad
31000000,2200,3,4,Other
100000000,4500,4,4,Other
17500000,1800,3,3,Bahria Town
160000000,5994,6,6,DHA
27500000,9000,4,4,DHA
34000000,1458,6,7,Other
18400000,3150,4,4,Bahria Town
1200000,100,3,3,Saima Arabian Villas
7000000,950,2,2,Gulistan
15000000,1125,3,4,Bahria Town
12000000,720,4,5,Other
34500000,2400,3,4,Gulshan
5000000,720,2,2,Other
5600000,1050,2,2,North
1700000,125,3,3,Other
23500000,1550,3,3,DHA
13000000,1080,2,3,North Town Residency
9200000,1000,2,2,Other
18000000,9153,4,4,Surjani Town
1700000,450,1,1,Surjani Town
40000000,1550,3,4,Other
4600000,1080,3,3,Other
80000000,5000,1,1,Other
19500000,1080,4,5,Other
100000000,4500,5,5,Malir
13600000,1080,2,3,Garden
18500000,900,6,5,North
3450000,1080,3,3,Other
62500000,2340,4,3,Other
50000000,1980,6,7,Airport Road
12500000,1030,2,2,Other
15200000,1125,3,3,Bahria Town
14500000,1100,2,2,North Nazimabad
14000000,2115,3,3,Bahria Town
21000000,1200,2,2,Gulshan
4800000,850,2,2,North
19300000,1650,3,4,Other
19500000,1080,4,5,Airport Road
5000000,80,3,3,North Town Residency
91000000,1771,2,3,Other
1200000,9000,4,4,Gulshan
20000000,1440,3,3,Other
2950000,540,3,2,Scheme 33
62000000,1376,1,2,Other
7300000,955,2,2,Bahria Town
38500000,1800,6,7,Gulshan
50900000,3600,3,4,Other
26500000,1080,6,5,North
100000000,1300,3,4,Scheme 33
5500000,700,3,2,North
17200000,3150,4,4,Bahria Town
50000000,2160,6,6,Other
