price,area_sqft,bedrooms,bathrooms,location_final
11000000,1050,2,2,Other
15500000,1600,3,4,Other
25000000,1350,3,3,Other
12000000,1440,3,3,Other
22900000,1750,3,4,Other
4200000,600,2,2,Gulistan
16000000,1900,1,1,Gulistan
28000000,5400,3,4,Other
11399999,1125,3,3,Bahria Town
66500000,2700,5,6,Other
4700000,630,2,2,DHA
1200000,9000,4,4,Gadap Town
7500000,1080,3,3,Gulshan
24500000,1350,3,3,Other
15500000,1050,2,2,Other
45000000,473,3,3,Other
12000000,1050,2,2,Other
4200000,900,4,2,Allahwala Town
19000000,1080,4,4,Other
10500000,1050,2,2,Other
9100000,1050,2,2,Other
21000000,1300,3,3,Other
22000000,1080,4,4,Other
1280000,540,1,1,Korangi
2080000,378,2,1,Allahwala Town
6500000,756,3,3,Allahwala Town
2500000,450,2,1,Korangi
21500000,1450,3,3,Other
850000,720,3,3,Gulshan
4000000,9900,2,3,Bahria Town
180000000,4500,6,7,Other
59900000,2700,5,6,Other
29500000,1080,4,4,Capital Cooperative Housing Society
13500000,2115,3,3,Bahria Town
800000,600,3,3,Surjani Town
20400000,1140,3,3,Garden
145000000,4500,6,7,DHA
144000000,4500,6,7,DHA
8800000,330,3,3,Other
10500000,900,2,2,North Nazimabad
119500000,4500,6,7,DHA
36000000,1080,4,6,Other
57500000,1188,3,3,Other
22900000,1800,3,3,Bahria Town
6500000,3600,3,4,Gulshan
22500000,1440,6,6,Saima Arabian Villas
3100000,1125,3,3,DHA
15000000,1050,2,2,Other
750000,720,2,2,Other
66000000,4275,3,4,Gulistan
120000000,1305,3,4,Gulshan
77000000,5580,4,4,Gulistan
150000000,2308,3,4,Gulistan
145000000,2395,3,4,Gulistan
3000000,2250,3,3,Other
6200000,1800,3,3,DHA
4000000,900,3,3,Allahwala Town
75000000,4995,4,4,Gulistan
9800000,1125,3,3,Bahria Town
1500000,9000,1,1,Gadap Town
5300000,1080,3,3,Falaknaz Dreams
12000000,1080,2,2,Garden
12000000,1080,2,4,Garden
8200000,9000,4,4,Bahria Town
14500000,1125,3,3,Other
1200000,9000,1,1,Gadap Town
20000000,1800,5,6,Surjani Town
15000000,585,2,2,Surjani Town
20000000,1800,3,3,Surjani Town
7100000,1026,3,3,Surjani Town
22500000,1080,2,3,Other
2000000,375,1,1,Surjani Town
16000000,1440,5,3,Saima Arabian Villas
16800000,1800,3,3,Bahria Town
49000000,1800,6,7,Other
8000000,1080,3,3,North Town Residency
7000000,750,3,3,North
77000000,2160,6,7,Gulistan
150000000,3600,6,7,Gulistan
35000000,1080,4,5,North
85000000,2700,6,7,Gulistan
11399999,800,3,3,North
39000000,1080,6,6,North
8600000,1000,2,2,North
24500000,1080,6,6,North
12500000,800,3,3,North
12000000,700,3,3,North
23500000,1080,6,6,North
22900000,1620,3,5,Other
11000000,5400,3,4,North
50000000,2000,5,5,Other
31000000,2250,3,4,Other
500000,961,5,2,North
21000000,3150,4,4,Bahria Town
13799999,4500,3,4,DHA
14500000,1440,4,3,Other
45900000,1400,3,3,Other
36000000,1300,3,3,Garden
85000000,1350,4,4,PECHS
11000000,600,3,3,North
27500000,900,2,2,Other
32500000,1500,3,3,Garden
55000000,1760,3,3,Other
25000000,1000,2,2,Other
85000000,1800,6,6,Garden
45000000,1800,3,3,Other
44000000,2200,4,4,PECHS
50900000,2000,4,4,Other
30000000,1300,3,3,Other
22500000,1000,2,2,Other
45000000,1400,3,3,Garden
25000000,2000,3,4,Other
45000000,2592,6,6,North
48400000,4500,5,5,Bahria Town
4550000,240,3,3,Other
4500000,600,2,2,Gulistan
10500000,850,2,2,Garden
50000000,1400,3,3,Garden
24500000,1000,2,2,Garden
115000000,2115,5,5,Other
20000000,900,2,2,Garden
36500000,1500,3,3,Garden
37500000,1300,3,3,Other
52500000,2000,4,4,Other
26000000,2100,3,3,Garden
7600000,2160,3,3,Other
8500000,1080,3,3,Other
35000000,400,3,3,Gulistan
7800000,2160,3,3,Other
21000000,1700,3,3,Other
26000000,1080,4,5,Other
9000000,900,2,2,North Nazimabad
400000,96,3,3,North Town Residency
1600000,1080,3,3,Other
100000000,4950,3,4,Malir
10500000,1000,2,2,Gulistan
4500000,675,2,2,Other
5500000,630,1,1,Other
29000000,1800,3,2,Gulistan
8600000,950,2,2,Gulistan
13500000,1300,3,3,Gulistan
13500000,1300,3,3,Gulistan
7000000,700,2,2,Gulistan
35500000,2160,3,3,Gulistan
8000000,909,2,2,Other
8000000,990,2,2,Gulshan
7400000,1080,3,3,Gulshan
14500000,720,3,3,Malir
5500000,216,3,3,Other
2250000,720,3,3,Malir
8100000,990,2,2,Bahria Town
8500000,1080,3,3,Garden
18000000,2160,3,3,North
42500000,2160,3,3,Other
6000000,720,3,3,North Town Residency
2250000,720,3,3,Other
5500000,765,2,2,Other
5600000,765,3,2,Malir
32500000,462,3,3,Scheme 33
5000000,1080,3,3,Falaknaz Dreams
7700000,720,3,2,North
13000000,720,5,4,North
12200000,720,4,3,North
26000000,1080,6,6,North
24000000,1080,4,5,North
27500000,1785,3,3,Nazimabad
29900000,1775,3,4,Nazimabad
20800000,1249,2,2,Nazimabad
1500000,50,3,3,North Town Residency
13500000,1125,3,3,Bahria Town
16000000,1200,2,3,Scheme 33
36500000,2000,4,4,Other
10500000,900,2,2,Other
10500000,840,2,2,Capital Cooperative Housing Society
2900000,600,2,2,Korangi
1100000,50,3,3,North Town Residency
19900000,1250,2,3,Nazimabad
35000000,9153,4,4,Surjani Town
95000000,4500,4,4,Other
15200000,1080,3,3,Nazimabad
79000000,4500,3,3,North Nazimabad
18500000,1080,4,4,North
4500000,550,2,2,North
42000,1080,3,3,Falaknaz Dreams
5800000,200,3,3,North
27000000,3600,3,4,Surjani Town
13500000,2160,3,3,Gulshan
26000000,1850,3,3,Other
15400000,1368,3,3,Bahria Town
12500000,1100,2,2,Other
85000000,3375,5,6,Other
20400000,1250,2,3,Nazimabad
17500000,1250,2,3,Nazimabad
6500000,765,2,2,Malir
5500000,810,2,2,Surjani Town
4100000,756,2,2,Surjani Town
2300000,450,2,2,Allahwala Town
2400000,450,2,2,Allahwala Town
2800000,450,1,1,Allahwala Town
2500000,450,2,1,Allahwala Town
2200000,450,2,1,Allahwala Town
2600000,450,2,1,Allahwala Town
2350000,405,2,2,Allahwala Town
10000000,1080,2,2,Falaknaz Dreams
13500000,1080,4,4,Falaknaz Dreams
3300000,1062,3,3,Falaknaz Dreams
